Phrase ID	Level	Clue (Question)	Phrase (Answer)
FPHDC602001		Country	Belize
FPHDC602002		Holiday	Flag Day
FPHDC602003		Herbs and Spices	Allspice
FPHDC602004		Back to School	Writing and Composition
FPHDC602005		US State	Arizona
FPHDC602006		Color	Chocolate and Caramel
FPHDC602007		Emotions	Adoration and Admiration
FPHDC602008		Family	Ex Husband
FPHDC602009		Cooking	Pizza Cutter
FPHDC602010		On the Farm	Goose and Gander
FPHDC602011		Rocks and Minerals	Pebbles and Gravel
FPHDC602012		Element	Carbon
FPHDC602013		At the Beach	Preventing Sunburns
FPHDC602014		Fictional Character	Bruce Wayne
FPHDC602015		Musical Instruments	Maracas and Rattles
FPHDC602016		Outdoor Activity	Flag Football
FPHDC602017		Rock Band	Disturbed
FPHDC602018		Mythical Creatures	Harpies and Nymphs
FPHDC602019		Clothing	Plaid Skirt
FPHDC602020		Animal	One-Humped Camel
FPHDC602021		Anatomy	Right Ventricle
FPHDC602022		Retail Store	Urban Outfitters
FPHDC602023		Fruits and Vegetables	Apples and Oranges
FPHDC602024		Classical Music	Johannes Brahms
FPHDC602025		Disney Movie	Enchanted
FPHDC602026		Country	China
FPHDC602027		Landmark	Grand Canyon
FPHDC602028		Fast Food	Kentucky Fried Chicken
FPHDC602029		Occupation	Computer Engineer
FPHDC602030		Car	Hyundai Elantra
FPHDC602031		Furniture	Waterbed
FPHDC602032		Vacation Spot	Bali, Indonesia
FPHDC602033		Aquatic Animal	Tadpole
FPHDC602034		Book Title	Pride and Prejudice
FPHDC602035		At the Amusement Park	Walt Disney World
FPHDC602036		Drink	Screwdriver
FPHDC602037		Technology	WiFi Router
FPHDC602038		Emotions	Insulted and Offended
FPHDC602039		Movie Quote	You're Killin' me Smalls
FPHDC602040		At the Beach	Underwater Adventure
FPHDC602041		Halloween	Carving Pumpkins
FPHDC602042		Herbs and Spices	Vanilla Extract
FPHDC602043		Song Title	Can't Buy Me Love
FPHDC602044		Around the House	Broom and Dustpan
FPHDC602045		Cooking	Gelatin Mold
FPHDC602046		TV Show	Wheel of Fortune
FPHDC602047		Comedy	Mean Girls
FPHDC602048		Rocks and Minerals	Peridot and Opal
FPHDC602049		Food	Chicken Salad
FPHDC602050		Back to School	Wooden Yardstick
FPHDC602051		Christmas	Cookies for Santa
FPHDC602052		Country	Cuba
FPHDC602053		Retail Store	Disney Store
FPHDC602054		Vacation Spot	New Orleans, Louisiana
FPHDC602055		Fruits and Vegetables	Sun Dried Tomatoes
FPHDC602056		Around the House	Jewelry Box
FPHDC602057		Fictional Character	Curious George
FPHDC602058		Color	Rainbow
FPHDC602059		Furniture	Filing Cabinet
FPHDC602060		Fast Food	Dunkin' Donuts
FPHDC602061		Car	Lamborghini Aventador
FPHDC602062		Occupation	Nurse Practitioner
FPHDC602063		Musical Instrument	Cowbell
