Phrase ID	Level	Clue (Question)	Phrase (Answer)
FPH217003	1	Ferien	Ostersonntag
FPH14003	2	Kaffeemarke	Starbucks
FPH14002	3	Haustier	Hamster
FPH14004	4	Pop-Künstler	Ed Sheeran
FPH14005	5	Männlicher Schauspieler	Christoph Waltz
FPH217002	6	Regierung	Otto von Bismarck
FPH14001	7	Essen	Früchte und Gemüse
FPH14007	8	Fernsehsendung	Game of Thrones
FPH14008	9	Disney-Film	Susi und Strolch
FPH14009	10	Abendessen	Wiener Schnitzel
FPH14010	11	Karikatur	Spongebob Schwammkopf
FPH14011	12	Basketball-Spieler	Kobe Bryant
FPH14012	13	Haustier	Golden Retriever
FPH14013	14	Frühstück	Geschnittenes Brot
FPH14014	15	Pop-Künstler	Katy Perry
FPH14015	16	Bekannte Marke	Microsoft
FPH14016	17	Karikatur	Looney Tunes
FPH14017	18	Schauspielerin	Emma Stone
FPH14018	19	Tier	Riesenpanda
FPH14019	20	Disney-Figur	Kapitän Jack Sparrow
FPH14020	21	Mittagessen	Currywurst
FPH14021	22	Pop-Künstler	Justin Timberlake
FPH14022	23	Veranstaltung	Oktoberfest
FPH14023	24	Videospiel	Call of Duty
FPH14024	25	Meerestier	Große Tümmler
FPH14025	26	Pop-Künstler	Britney Spears
FPH14026	27	Country-Künstler	Garth Brooks
FPH14027	28	Videospiel	Sonic the Hedgehog
FPH14028	29	Disney-Lied	Sei unser Gast
FPH14029	30	Actionfilm	Matrix
FPH14030	31	Disney-Film	Küss den Frosch
FPH14031	32	Videospiel	Super Mario
FPH14032	33	Komödie	Die Braut des Prinzen
FPH14033	34	Actionfilm	Iron Man
FPH14034	35	Fahrzeug	Volkswagen Golf
FPH14035	36	Haustier	Tabby Katze
FPH14036	37	Hip-Hop-Künstler	Kanye West
FPH14037	38	Männlicher Schauspieler	Leonardo Dicaprio
FPH14038	39	Disney Charaktere	Anna und Elsa
FPH217001	40	Regierung	Helmut Kohl
FPH14040	41	Reality-Show	Popstars
FPH14041	42	Actionfilm	Mission Impossible
FPH14042	43	Haustier	Deutscher Schäferhund
FPH14043	44	Vorspeise	Brezel und Senf
FPH14044	45	Wahrzeichen	Zugspitze
FPH14045	46	Exotisches Haustier	Kornnatter
FPH14046	47	Technologiemarke	Samsung
FPH14047	48	Disney-Lied	Unter dem Meer
FPH14048	49	Männlicher Schauspieler	Robert De Niro
FPH14049	50	Actionfilm	Avengers Endgame
FPH14050	51	Fernsehsendung	The Big Bang Theory
FPH14051	52	Deutsche Stadt	Berlin
FPH14052	53	Fahrzeug	Ford Focus
FPH14053	54	Disney-Film	Alice im Wunderland
FPH14054	55	Country-Künstler	Luke Combs
FPH14056	56	Actionfilm	Die Bourne Identität
FPH14057	57	Abendessen	Orangenhuhn
FPH14058	58	Vogel	Kaiserpinguin
FPH14059	59	Männlicher Schauspieler	Alan Rickman
FPH14060	60	Actionfilm	Jurassic Park
FPH14061	61	Frühstück	Eier und Speck
FPH14062	62	Meerestier	Seelöwe
FPH14063	63	Technologiemarke	Verizon Mobile
FPH14064	64	Pop-Künstler	Lady Gaga
FPH14065	65	Haustier	Französische Bulldogge
FPH14066	66	Regierung	Konrad Adenauer
FPH14067	67	Männlicher Schauspieler	Morgan Freeman
FPH14068	68	Fahrzeug	Skoda Octavia
FPH14069	69	Komödie	Die Ritter der Kokosnuß
FPH14070	70	Vogel	Schneeeule
FPH14071	71	Actionfilm	John Wick
FPH14072	72	Sportliche Marke	Under Armour
FPH14073	73	Wahrzeichen	Bodensee
FPH14074	74	Pop-Künstler	Michael Jackson
FPH14075	75	Disney-Lied	Hakuna Matata
FPH14076	76	Männlicher Schauspieler	Keanu Reeves
FPH14077	77	TV-Moderator	Oprah Winfrey
FPH14078	78	Bekannte Marke	Facebook
FPH14079	79	Veranstaltung	Karneval
FPH14080	80	Komödie	Ferris macht blau
FPH14081	81	Abendessen	Burger und Pommes
FPH14082	82	Deutsche Stadt	Hamburg
FPH14083	83	Meerestier	Blauwal
FPH14084	84	Exotisches Haustier	Igel
FPH14085	85	Basketball-Spieler	Michael Jordan
FPH14086	86	Vorspeise	Kartoffelsalat
FPH14087	87	Actionfilm	Stirb langsam
FPH14088	88	Fahrzeug	Opel Corsa
FPH14089	89	Videospiel	Pokemon
FPH14090	90	Pop-Künstler	Elvis Presley
FPH14091	91	Haustier	Sibirischer Husky
FPH14092	92	Vogel	Kolibri
FPH14093	93	Disney-Figur	Prinzessin Jasmine
FPH14094	94	Schauspielerin	Angelina Jolie
FPH14095	95	Disney-Film	Mulan
FPH14096	96	Technologiemarke	Google
FPH14097	97	Baseballspieler	Babe Ruth
FPH14098	98	Exotisches Haustier	Bärtiger Drache
FPH14099	99	Abendessen	Teltower Rübchen
FPH14100	100	Komödie	Happy Gilmore
FPH218001	101	Ferien	Valentinstag
FPH218002	102	Essen	Kartoffelpuffer
FPH218003	103	Haustier	Persische Katze
FPH218004	104	Pop-Künstler	Taylor Swift
FPH218005	105	Schauspielerin	Scarlett Johansson
FPH218006	106	Regierung	Willy Brandt
FPH218007	107	Essen	Knödel
FPH218008	108	Fernsehsendung	Barbarians
FPH218009	109	Disney-Film	Schneewittchen und die Sieben Zwerge
FPH218010	110	Abendessen	Königsberger Klopse
FPH218011	111	Karikatur	Transformers
FPH218012	112	Basketball-Spieler	Lebron James
FPH218013	113	Haustier	Siamesische Katze
FPH218014	114	Frühstück	Franzbrötchen
FPH218015	115	Pop-Künstler	Selena Gomez
FPH218016	116	Bekannte Marke	Reebok
FPH218017	117	Karikatur	Teenage Mutant Ninja Turtles
FPH218018	118	Schauspielerin	Natalie Portman
FPH218019	119	Tier	Nashorn
FPH218020	120	Disney-Figur	Lightning McQueen
FPH218021	121	Horrorfilm	The Shining
FPH218022	122	Pop-Künstler	Justin Bieber
FPH218023	123	Fahrzeug	Mercedes Benz S-Klasse
FPH218024	124	Videospiel	The Legend of Zelda
FPH218025	125	Meerestier	Hammerhai
FPH218026	126	Vogel	Spottdrossel
FPH218027	127	Country-Künstler	Jason Aldean
FPH218028	128	Videospiel	World of Warcraft
FPH218029	129	Disney-Lied	Teil deiner Welt
FPH218030	130	Actionfilm	The Terminator
FPH218031	131	Disney-Film	Die Schöne und das Biest
FPH218032	132	Videospiel	Minecraft
FPH218033	133	Fahrzeug	Audi TT
FPH218034	134	Süssigkeit	Sour Patch Kids
FPH218035	135	Trinken	Schokoladenmilch
FPH218036	136	Haustier	Kaninchen
FPH218037	137	Hip-Hop-Künstler	Eminem
FPH218038	138	Männlicher Schauspieler	Arnold Schwarzenegger
FPH218039	139	Disney Charaktere	Aladdin und Jasmine
FPH218040	140	Regierung	Frank-Walter Steinmeier
FPH218041	141	Wahrzeichen	Eltz Castle
FPH218042	142	Actionfilm	Underworld
FPH218043	143	Haustier	Jack Russell Terrier
FPH218044	144	Vorspeise	Bier Käse Aufstrich
FPH218045	145	Basketball-Spieler	Shaquille O'Neal
FPH218046	146	Exotisches Haustier	Boa Constrictor
FPH218047	147	Technologiemarke	Youtube
FPH218048	148	Disney-Lied	Gerne geschehen
FPH218049	149	Männlicher Schauspieler	Clint Eastwood
FPH218050	150	Actionfilm	The Fifth Element
FPH218051	151	Fernsehsendung	The Walking Dead
FPH218052	152	Land	New Zealand
FPH218053	153	Veranstaltung	Asparagusfest and Onionfest
FPH218054	154	Disney-Film	High School Musical
FPH218055	155	Deutsche Stadt	Munich
FPH218056	156	Actionfilm	Total Recall
FPH218057	157	Abendessen	Schweinebraten
FPH218058	158	Rockband	The Rolling Stones
FPH218059	159	Männlicher Schauspieler	Adam Sandler
FPH218060	160	Actionfilm	Men in Black
FPH218061	161	Frühstück	Mettbrötchen
FPH218062	162	Meerestier	Seeigel
FPH218063	163	Technologiemarke	Instagram
FPH218064	164	Pop-Künstler	Billie Eilish
FPH218065	165	Haustier	Alaskan Malamute
FPH218066	166	Regierung	Gustav Stresemann
FPH218067	167	Männlicher Schauspieler	Daniel Radcliffe
FPH218068	168	Reality-Show	The Great British Baking Show
FPH218069	169	Komödie	The Simpsons
FPH218070	170	Vogel	Trompeter Schwan
FPH218071	171	Actionfilm	Kill Bill
FPH218072	172	Land	Singapur
FPH218073	173	Trinken	Gin und Tonic
FPH218074	174	Pop-Künstler	Christina Aguilera
FPH218075	175	Disney-Lied	Kannst du die Liebe heute Nacht spüren?
FPH218076	176	Männlicher Schauspieler	Tom Cruise
FPH218077	177	Buch	Hänsel und Gretel
FPH218078	178	Fahrzeug	Honda Civic
FPH218079	179	Wahrzeichen	Cologne Cathedral
FPH218080	180	Komödie	Home Alone
FPH218081	181	Abendessen	Sauerbraten
FPH218082	182	Schauspielerin	Drew Barrymore
FPH218083	183	Meerestier	Großer weißer Hai
FPH218084	184	Kontinent	Nordamerika
FPH218085	185	Veranstaltung	Reeperbahn
FPH218086	186	Vorspeise	Suppe und Salat
FPH218087	187	Actionfilm	Van Helsing
FPH218088	188	Rockband	Led Zeppelin
FPH218089	189	Videospiel	Grand Theft Auto
FPH218090	190	Pop-Künstler	Kelly Clarkson
FPH218091	191	Haustier	Cocker Spaniel
FPH218092	192	Vogel	Flamingo
FPH218093	193	Disney-Figur	Jack Skellington
FPH218094	194	Schauspielerin	Jennifer Lawrence
FPH218095	195	Disney-Film	Aschenputtel
FPH218096	196	Rockband	The Beatles
FPH218097	197	Außenaktivität	Klettern
FPH218098	198	Exotisches Haustier	Einsiedlerkrebs
FPH218099	199	Abendessen	Rib Eye Steak
FPH218100	200	Wahrzeichen	Römer Frankfurt
FPH218101	201	Land	Vereinigte Staaten
FPH218102	202	Snack	Müsliriegel
FPH218103	203	Kleidung	Lederjacke
FPH218104	204	Pop-Künstler	Ariana Grande
FPH218105	205	Disney-Lied	Farben des Windes
FPH218106	206	Männlicher Schauspieler	Bruce Willis
FPH218107	207	Deutsche Stadt	Frankfurt
FPH218108	208	Bekannte Marke	Nestle
FPH218109	209	Haustier	Chihuahua
FPH218110	210	Frühstück	Getreide und Milch
FPH218111	211	Disney-Film	Peter Pan
FPH218112	212	Kontinent	Afrika
FPH218113	213	Tier	arktischer Wolf
FPH218114	214	Dessert	Speiseeis
FPH218115	215	Komödie	The Hangover
FPH218116	216	Land	Südkorea
FPH218117	217	Abendessen	Currywurst
FPH218118	218	Meerestier	Tigerhai
FPH218119	219	Kleidung	Denim Jeans
FPH218120	220	Schauspielerin	Franka Potente
FPH218121	221	Wahrzeichen	Berliner Dom
FPH218122	222	Disney-Lied	Eine ganz neue Welt
FPH218123	223	Rockband	Guns N Roses
FPH218124	224	Tier	Weißkopfseeadler
FPH218125	225	Frühstück	Speckpfannkuchen
FPH218126	226	Haustier	Goldfisch
FPH218127	227	Trinken	Orangensaft
FPH218128	228	Land	Schweiz
FPH218129	229	Meerestier	Qualle
FPH218130	230	Süssigkeit	Skittles
FPH218131	231	Abendessen	Leberkäse
FPH218132	232	Bekannte Marke	Twitter
FPH218133	233	Tier	Bengalischer Tiger
FPH218134	234	Disney-Film	Arielle, die Meerjungfrau
FPH218135	235	Kontinent	Australien
FPH218136	236	Kleidung	Winterstiefel
FPH218137	237	Veranstaltung	Berlinale
FPH218138	238	Wahrzeichen	Schloss Nymphenburg
FPH218139	239	Kaffeemarke	Folgers
FPH218140	240	Country-Künstler	Shania Twain
FPH218141	241	Actionfilm	Resident Evil
FPH218142	242	Abendessen	Schweinebraten
FPH218143	243	Haustier	Dobermann pinscher
FPH218144	244	Rockband	Aerosmith
FPH218145	245	Tier	Klapperschlange
FPH218146	246	Land	Irland
FPH218147	247	Bekannte Marke	Toshiba
FPH218148	248	Dessert	Zimtschnecke
FPH218149	249	Außenaktivität	Camping
FPH218150	250	Insekt	Tarantel
FPH218151	251	Kleidung	Badeanzug
FPH218152	252	Schauspielerin	Emma Watson
FPH218153	253	Disney-Lied	Vergiss es
FPH218154	254	Abendessen	Gemüseeintopf
FPH218155	255	Haustier	Schildkröte
FPH218156	256	Süssigkeit	Reese's Erdnussbutterbecher
FPH218157	257	Tier	Nilpferd
FPH218158	258	Männlicher Schauspieler	Brad Pitt
FPH218159	259	Fernsehsendung	Breaking Bad
FPH218160	260	Regierung	Angela Merkel
FPH218161	261	Wahrzeichen	Brandenburger Tor
FPH218162	262	Rockband	Black Sabbath
FPH218163	263	Insekt	Honigbiene
FPH218164	264	Frühstück	Gekochte Eier
FPH218165	265	Land	Niederlande
FPH218166	266	Trinken	Limonade
FPH218167	267	Country-Künstler	Johnny Cash
FPH218168	268	Komödie	Otto – Der Film
FPH218169	269	Tier	Schneeleopard
FPH218170	270	Männlicher Schauspieler	Orlando Bloom
FPH218171	271	Dessert	Bananenpudding
FPH218172	272	Schauspielerin	Sandra Bullock
FPH218173	273	Kontinent	Südamerika
FPH218174	274	Rockband	Red Hot Chili Peppers
FPH218175	275	Kleidung	Gelbe Jacke
FPH218176	276	Fernsehsendung	Stranger Things
FPH218177	277	Trinken	Blutige Maria
FPH218178	278	Regierung	Johannes Rau
FPH218179	279	Disney-Film	Artemis Fowl
FPH218180	280	Deutsche Stadt	Essen
FPH218181	281	Männlicher Schauspieler	Russell Crowe
FPH218182	282	Kleidung	Sandalen
FPH218183	283	Tier	Krokodil
FPH218184	284	Außenaktivität	Reiten
FPH218185	285	Land	Russland
FPH218186	286	Fernsehsendung	Forbrydelsen
FPH218187	287	Dessert	Käsekuchen
FPH218188	288	Haustier	Border Collie
FPH218189	289	Wahrzeichen	Beethoven Denkmal
FPH218190	290	Insekt	Gottesanbeterin
FPH218191	291	Rockband	Iron Maiden
FPH218192	292	Pop-Künstler	Miley Cyrus
FPH218193	293	Kontinent	Asien
FPH218194	294	Trinken	Heiße Schokolade
FPH218195	295	Vogel	Wanderfalke
FPH218196	296	Veranstaltung	Wurstmarkt
FPH218197	297	Regierung	Gerhard Schröder
FPH218198	298	Tier	Stachelschwein
FPH218199	299	Außenaktivität	Jagen und Fischen
FPH218200	300	Disney-Lied	Liebe ist eine offene Tür
FPH218201	301	Fernsehsendung	Peaky Blinders
FPH218202	302	Land	Israel
FPH218203	303	Actionfilm	Aliens
FPH218204	304	Komödie	Ace Ventura Pet Detective
FPH218205	305	Disney-Film	Dornröschen und der Prinz
FPH218206	306	Frühstück	Eierkuchen
FPH218207	307	Dessert	Lebkuchen
FPH218208	308	Außenaktivität	Skateboarden
FPH218209	309	Pop-Künstler	Sarah Connor
FPH218210	310	Wahrzeichen	Schloss Neuschwanstein
FPH218211	311	Kleidung	Regenmantel
FPH218212	312	Buch	Das Geschenk
FPH218213	313	Trinken	Milchtee
FPH218214	314	Regierung	Helmut Schmidt
FPH218215	315	Disney-Lied	Kreis des Lebens
FPH218216	316	Basketball-Spieler	Kevin Durant
FPH218217	317	Insekt	Heuschrecke
FPH218218	318	Erfundener Charakter	Luke Skywalker
FPH218219	319	Männlicher Schauspieler	Edward Norton
FPH218220	320	Abendessen	Peperoni Pizza
FPH218221	321	Anatomie	Herz Kreislauf System
FPH218222	322	Rockband	Imagine Dragons
FPH218223	323	Fernsehsendung	Biohackers
FPH218224	324	Videospiel	League of Legends
FPH218225	325	Komödie	The Amazing World of Gumball
FPH218226	326	Dessert	Apfelkuchen
FPH218227	327	Land	Afghanistan
FPH218228	328	Actionfilm	Lethal Weapon
FPH218229	329	Frühstück	Obst und Müsli
FPH218230	330	Schauspielerin	Helena Bonham Carter
FPH218231	331	Haustier	Meerschweinchen
FPH218232	332	Reality-Show	Ultimate Beastmaster
FPH218233	333	Horrorfilm	Poltergeist
FPH218234	334	Meerestier	Riesenkalmar
FPH218235	335	Kontinent	Antarktis
FPH218236	336	Pop-Künstler	Lena Meyer-Landrut
FPH218237	337	Erfundener Charakter	Optimus Prime
FPH218238	338	Vogel	Große Ehrenwerte Eule
FPH218239	339	Einzelhandel	Barnes und Noble
FPH218240	340	Planet	Neptun
FPH218241	341	Vogel	Kardinal
FPH218242	342	Disney-Film	Die Monster AG
FPH218243	343	Land	Dominikanische Republik
FPH218244	344	Tier	Schimpanse
FPH218245	345	Gemüse	Blumenkohl
FPH218246	346	Pflanze	Weeping Willow
FPH218247	347	Metall Band	Metallica
FPH218248	348	Fernsehsendung	Grey's Anatomy
FPH218249	349	Basketball-Spieler	Stephen Curry
FPH218250	350	Komödie	Ned's Declassified School Survival Guide
FPH218251	351	Frühstück	Weisswurst
FPH218252	352	Wahrzeichen	Reichstag
FPH218253	353	Trinken	Schwarzer Tee
FPH218254	354	Disney-Figur	Captain Hook
FPH218255	355	Obst	Erdbeere
FPH218256	356	Kleidung	Letterman Jacke
FPH218257	357	Schauspielerin	Meryl Streep
FPH218258	358	Deutsche Stadt	Dortmund
FPH218259	359	Reality-Show	Stahlharte Geschäfte
FPH218260	360	Dessert	Bostoner Cremetorte
FPH218261	361	Disney-Film	Mary Poppins
FPH218262	362	Haustier	Yorkshire Terrier
FPH218263	363	Horrorfilm	The Blair Witch Project
FPH218264	364	Männlicher Schauspieler	Harrison Ford
FPH218265	365	Land	Deutschland
FPH218266	366	Tier	Känguru
FPH218267	367	Erfundener Charakter	Harry Potter
FPH218268	368	Abendessen	Truthahn und Füllung
FPH218269	369	Actionfilm	Starship Troopers
FPH218270	370	Komödie	Charley’s Tante
FPH218271	371	Außenaktivität	Beach Volleyball
FPH218272	372	Videospiel	Angry Birds
FPH218273	373	Regierung	Kurt Georg Kiesinger
FPH218274	374	Reality-Show	Mythbusters
FPH218275	375	Meerestier	Seepferdchen
FPH218276	376	Basketball-Spieler	Russell Westbrook
FPH218277	377	Disney-Lied	Arme unglückliche Seelen
FPH218278	378	Pop-Künstler	Adam Levine
FPH218279	379	Anatomie	Sternum
FPH218280	380	Rockband	Pink Floyd
FPH218281	381	Country-Künstler	Patsy Cline
FPH218282	382	Frühstück	Bagel und Frischkäse
FPH218283	383	Land	Vereinigtes Königreich
FPH218284	384	Dessert	Erdnussbutterkekse
FPH218285	385	Komödie	Seinfeld
FPH218286	386	Disney-Film	Findet Nemo
FPH218287	387	Schauspielerin	Julia Roberts
FPH218288	388	Vogel	Specht
FPH218289	389	Männlicher Schauspieler	Will Ferrell
FPH218290	390	Trinken	Traubensaft
FPH218291	391	Horrorfilm	Nosferatu
FPH218292	392	Actionfilm	The Professional
FPH218293	393	Erfundener Charakter	Edward Scissorhands
FPH218294	394	Tier	Streifenhörnchen
FPH218295	395	Kleidung	Cocktailkleid
FPH218296	396	Land	Indonesien
FPH218297	397	Reality-Show	Die Rückkehr der Gabelstaplerfahrer
FPH218298	398	Wahrzeichen	Berliner Mauer
FPH218299	399	Pop-Künstler	Adele
FPH218300	400	Abendessen	Teriyaki Hähnchen
FPH218301	401	Planet	Quecksilber
FPH218302	402	Fernsehsendung	The Bureau of Magical Things
FPH218303	403	Deutsche Stadt	Stuttgart
FPH218304	404	Komödie	Go Trabi Go
FPH218305	405	Metall Band	Pantera
FPH218306	406	Disney-Lied	Rund um das Riverbend
FPH218307	407	Haustier	Deutsche Dogge
FPH218308	408	Fast Food	Steinecke
FPH218309	409	Tier	Komodowaran
FPH218310	410	Schauspielerin	Diane Krüger
FPH218311	411	Hip-Hop-Künstler	Tupac Shakur
FPH218312	412	Frühstück	Avocado Toast
FPH218313	413	Außenaktivität	Ultimative Frisbee
FPH218314	414	Disney-Film	Rapunzel – Neu verföhnt
FPH218315	415	Land	Belgien
FPH218316	416	Klassische Musik	Wolfgang Amadeus Mozart
FPH218317	417	Videospiel	Street Fighter
FPH218318	418	Süssigkeit	Salt Water Taffy
FPH218319	419	Männlicher Schauspieler	George Clooney
FPH218320	420	Trinken	Margarita
FPH218321	421	Regierung	Ludwig Erhard
FPH218322	422	Einzelhandel	Edeka
FPH218323	423	Wahrzeichen	Golden Gate Bridge
FPH218324	424	Erfundener Charakter	Katniss Everdeen
FPH218325	425	Country-Künstler	George Strait
FPH218326	426	Tier	Elefant
FPH218327	427	Dessert	Kekse und Sahne
FPH218328	428	Actionfilm	Mission Impossible Fallout
FPH218329	429	Pop-Künstler	Jennifer Lopez
FPH218330	430	Fernsehsendung	Law and Order
FPH218331	431	Anatomie	Gelenke und Sehnen
FPH218332	432	Reality-Show	Berlin - Tag & Nacht
FPH218333	433	Pflanze	Immergrüner Baum
FPH218334	434	Abendessen	Muschelsuppe
FPH218335	435	Land	Madagaskar
FPH218336	436	Disney-Film	Fluch der Karibik
FPH218337	437	Vogel	Möwe
FPH218338	438	Rockband	Panic at the Disco
FPH218339	439	Komödie	Austin Powers
FPH218340	440	Frühstück	Gebäck und Kaffee
FPH218341	441	Schauspielerin	Marlene Dietrich
FPH218342	442	Veranstaltung	Walpurgisnacht
FPH218343	443	Horrorfilm	The Grudge
FPH218344	444	Meerestier	Krake
FPH218345	445	Kleidung	Bademantel
FPH218346	446	Pop-Künstler	Janet Jackson
FPH218347	447	Trinken	Kürbisgewürz Latte
FPH218348	448	Erfundener Charakter	Kermit der Frosch
FPH218349	449	Reality-Show	Germany's Next Topmodel
FPH218350	450	Fast Food	Burger King
FPH218351	451	Klassische Musik	Moonlight Sonata
FPH218352	452	Fernsehsendung	Scrubs
FPH218353	453	Land	Brasilien
FPH218354	454	Disney-Figur	Rapunzel
FPH218355	455	Videospiel	Final Fantasy
FPH218356	456	Haustier	Pommern
FPH218357	457	Planet	Erde
FPH218358	458	Süssigkeit	Gummibärchen
FPH218359	459	Deutsche Stadt	Düsseldorf
FPH218360	460	Fahrzeug	Tesla Model X
FPH218361	461	Anatomie	Pankreas
FPH218362	462	Beruf	Astronaut
FPH218363	463	Dessert	Schwarzwälder Kirschtorte
FPH218364	464	Wahrzeichen	Opernhaus in Sydney
FPH218365	465	Einzelhandel	Amazon
FPH218366	466	Klassische Musik	Johann Sebastian Bach
FPH218367	467	Actionfilm	Minority Report
FPH218368	468	Außenaktivität	Walbeobachtung
FPH218369	469	Land	El Salvador
FPH218370	470	Abendessen	Kartoffelsuppe
FPH218371	471	Männlicher Schauspieler	Sylvester Stallone
FPH218372	472	Trinken	Grüner Tee
FPH218373	473	Fernsehsendung	Gute Zeiten, Schlechte Zeiten
FPH218374	474	Dessert	Baumkuchen
FPH218375	475	Insekt	Raupe
FPH218376	476	Disney-Film	Ein Königreich für ein Lama
FPH218377	477	Horrorfilm	The Invisible Man
FPH218378	478	Reality-Show	The Voice Kids
FPH218379	479	Obst	Wassermelone
FPH218380	480	Fast Food	Subway
FPH218381	481	Pflanze	Rote Rose
FPH218382	482	Dessert	Schokoladenkekse
FPH218383	483	Erfundener Charakter	Fred Flintstone
FPH218384	484	Haustier	Königspython
FPH218385	485	Land	Kambodscha
FPH218386	486	Metall Band	Slayer
FPH218387	487	Frühstück	Grießbrei
FPH218388	488	Pop-Künstler	Mariah Carey
FPH218389	489	Schauspielerin	Alexandra Maria Lara
FPH218390	490	Kleidung	Sweatshirt
FPH218391	491	Dessert	Quarkbällchen
FPH218392	492	Videospiel	Counterstrike
FPH218393	493	Fernsehsendung	The Twilight Zone
FPH218394	494	Karikatur	Lauras Stern
FPH218395	495	Kontinent	Europa
FPH218396	496	Rockband	Die Toten Hosen
FPH218397	497	Disney-Film	Der Goofy Film
FPH218398	498	Actionfilm	Enter the Dragon
FPH218399	499	Abendessen	Hühnchen und Brokkoli
FPH218400	500	Land	Kanada
FPH514001	501	Ferien	Halloween
FPH514002	502	Kaffeemarke	Coffee Fellows
FPH514003	503	Haustier	Dalmatiner
FPH514004	504	Pop-Künstler	Alicia Keys
FPH514005	505	Männlicher Schauspieler	Daniel Brühl
FPH514006	506	Deutsche Stadt	Bremen
FPH514007	507	Essen	Spaghetti und Fleischbällchen
FPH514008	508	Fernsehsendung	Criminal: UK
FPH514009	509	Disney-Film	Die Aristocats
FPH514010	510	Abendessen	Rindfleisch Burrito
FPH514011	511	Karikatur	Tom und Jerry
FPH514012	512	Technologie	Tastatur und Maus
FPH514013	513	Fahrzeug	Viertürer BMW
FPH514014	514	Frühstück	Senfeier
FPH514015	515	Pop-Künstler	Bruno Mars
FPH514016	516	Wahrzeichen	Liberty Bell
FPH514017	517	Möbel	Ledersofa
FPH514018	518	Klassische Musik	Für Elise
FPH514019	519	Tier	Schwarze Mamba
FPH514020	520	Disney-Figur	Maleficent
FPH514021	521	Abendessen	Schweinshaxe
FPH514022	522	Pop-Künstler	Demi Lovato
FPH514023	523	Reality-Show	Der Germinator
FPH514024	524	Videospiel	Pac Man
FPH514025	525	Wassertier	Buckelwal
FPH514026	526	Pop-Künstler	David Bowie
FPH514027	527	Schauspielerin	Nina Hoss
FPH514028	528	Videospiel	Tetris
FPH514029	529	Süssigkeit	Geleebohnen
FPH514030	530	Actionfilm	The Avengers
FPH514031	531	Disney-Film	Lilo und Stitch
FPH514032	532	Anatomie	Herz und Arterien
FPH514033	533	Fernsehsendung	Fear the Walking Dead
FPH514034	534	Beruf	Psychiater
FPH514035	535	Rockband	Tokio Hotel
FPH514036	536	Haustier	Rottweiler
FPH514037	537	Hip-Hop-Künstler	Snoop Dogg
FPH514038	538	Männlicher Schauspieler	Heath Ledger
FPH514039	539	Disney Charaktere	Esmeralda und Quasimodo
FPH514040	540	Regierung	Roman Herzog
FPH514041	541	Reality-Show	Prinz Charming
FPH514042	542	Süssigkeit	Schwedischer Fisch
FPH514043	543	Möbel	Tisch und Stühle
FPH514044	544	Vorspeise	Limburger Käsesalat
FPH514045	545	Wahrzeichen	Köpfe der Easter Island
FPH514046	546	Klassische Musik	Ludwig van Beethoven
FPH514047	547	Technologie	Google Sheets
FPH514048	548	Disney-Lied	Freund wie ich
FPH514049	549	Männlicher Schauspieler	Liam Neeson
FPH514050	550	Fast Food	Taco Bell
FPH514051	551	Fernsehsendung	I Love Lucy
FPH514052	552	Komödie	Pappa ante Portas
FPH514053	553	Pflanze	Bambusbaum
FPH514054	554	Disney-Film	Der Glöckner von Notre Dame
FPH514055	555	Schauspielerin	Julia Jentsch
FPH514056	556	Fahrzeug	Volkswagen Jetta
FPH514057	557	Abendessen	Huhn Stir Fry
FPH514058	558	Vogel	Drossel
FPH514059	559	Tier	Chamäleon
FPH514060	560	Möbel	Kaffetisch
FPH514061	561	Frühstück	Frühstücks Burrito
FPH514062	562	Wassertier	Bullenhai
FPH514063	563	Technologie	Nintendo Switch
FPH514064	564	Pop-Künstler	Shakira
FPH514065	565	Land	Tschechische Republik
FPH514066	566	Regierung	Horst Köhler
FPH514067	567	Insekt	Tausendfüßler
FPH514068	568	Reality-Show	Top Gear
FPH514069	569	Wahrzeichen	Berliner Turm
FPH514070	570	Vogel	Schwalbenschwanz
FPH514071	571	Süssigkeit	Hershey's Kisses
FPH514072	572	Möbel	Vitrine
FPH514073	573	Wahrzeichen	St. Basil Kathedrale
FPH514074	574	Pop-Künstler	Frank Sinatra
FPH514075	575	Disney-Lied	Ich kann es kaum erwarten König zu sein
FPH514076	576	Erfundener Charakter	Peter Griffin
