Phrase ID	Level	Clue (Question)	Phrase (Answer)
FPH217003	1	Holiday	Easter
FPH14003	2	Coffee Brand	Starbucks
FPH14002	3	Pet	Hamster
FPH14004	4	Pop Artist	Taylor Swift
FPH14005	5	Female Actor	Reese Witherspoon
FPH217002	6	US President	George Washington
FPH14001	7	Food	Fruits and Vegetables
FPH14007	8	TV Show	Game of Thrones
FPH14008	9	Disney Movie	Lady and the Tramp
FPH14009	10	Dinner	Spaghetti and Meatballs
FPH14010	11	Cartoon	Spongebob Squarepants
FPH14011	12	Basketball Player	Kobe Bryant
FPH14012	13	Pet	Golden Retriever
FPH14013	14	Breakfast	Strawberry Pancakes
FPH14014	15	Pop Artist	Katy Perry
FPH14015	16	Famous Brand	Microsoft
FPH14016	17	Cartoon	Looney Tunes
FPH14017	18	Female Actor	Emma Stone
FPH14018	19	Animal	Giant Panda
FPH14019	20	Disney Character	Captain Jack Sparrow
FPH14020	21	Lunch	Pastrami Sandwich
FPH14021	22	Pop Artist	Justin Timberlake
FPH14022	23	Reality Show	America's Next Top Model
FPH14023	24	Video Game	Call of Duty
FPH14024	25	Ocean Animal	Bottlenose Dolphin
FPH14025	26	Pop Artist	Britney Spears
FPH14026	27	Country Artist	Garth Brooks
FPH14027	28	Video Game	Sonic the Hedgehog
FPH14028	29	Disney Song	Be Our Guest
FPH14029	30	Action Movie	The Matrix
FPH14030	31	Disney Movie	The Princess and the Frog
FPH14031	32	Video Game	Super Mario
FPH14032	33	Comedy	The Princess Bride
FPH14033	34	Action Movie	Iron Man
FPH14034	35	Football Player	Tom Brady
FPH14035	36	Pet	Tabby Cat
FPH14036	37	Hip Hop Artist	Kanye West
FPH14037	38	Male Actor	Leonardo DiCaprio
FPH14038	39	Disney Characters	Anna and Elsa
FPH217001	40	US President	John F. Kennedy
FPH14040	41	Reality Show	American Idol
FPH14041	42	Action Movie	Mission Impossible
FPH14042	43	Pet	German Shepherd
FPH14043	44	Appetizer	Sourdough Bread
FPH14044	45	Baseball Player	Barry Bonds
FPH14045	46	Exotic Pet	Corn Snake
FPH14046	47	Technology Brand	Samsung
FPH14047	48	Disney Song	Under the Sea
FPH14048	49	Male Actor	Robert De Niro
FPH14049	50	Action Movie	Avengers Endgame
FPH14050	51	TV Show	Umbrella Academy
FPH14051	52	Famous Slogan	Just Do It
FPH14052	53	Football Player	Tony Romo
FPH14053	54	Disney Movie	Alice in Wonderland
FPH14054	55	Country Artist	Luke Combs
FPH14056	56	Action Movie	The Bourne Identity
FPH14057	57	Dinner	Orange Chicken
FPH14058	58	Bird	Emperor Penguin
FPH14059	59	Male Actor	Alan Rickman
FPH14060	60	Action Movie	Jurassic Park
FPH14061	61	Breakfast	Eggs and Bacon
FPH14062	62	Ocean Animal	Sea Lion
FPH14063	63	Technology Brand	Verizon Mobile
FPH14064	64	Pop Artist	Lady Gaga
FPH14065	65	Pet	French Bulldog
FPH14066	66	US President	Abraham Lincoln
FPH14067	67	Male Actor	Morgan Freeman
FPH14068	68	Reality Show	The Bachelor
FPH14069	69	Comedy	Monty Python And The Holy Grail
FPH14070	70	Bird	Snowy Owl
FPH14071	71	Action Movie	John Wick
FPH14072	72	Athletic Brand	Under Armour
FPH14073	73	Famous Slogan	Every Kiss Begins With Kay
FPH14074	74	Pop Artist	Michael Jackson
FPH14075	75	Disney Song	Hakuna Matata
FPH14076	76	Male Actor	Keanu Reeves
FPH14077	77	TV Host	Oprah Winfrey
FPH14078	78	Famous Brand	Facebook
FPH14079	79	Reality Show	Keeping Up with the Kardashians
FPH14080	80	Comedy	Ferris Bueller's Day Off
FPH14081	81	Dinner	Burger and Fries
FPH14082	82	Famous Slogan	Maybe She's Born With It
FPH14083	83	Ocean Animal	Blue Whale
FPH14084	84	Exotic Pet	Hedgehog
FPH14085	85	Basketball Player	Michael Jordan
FPH14086	86	Appetizer	Chicken Noodle Soup
FPH14087	87	Action Movie	Die Hard
FPH14088	88	Football Player	Joe Montana
FPH14089	89	Video Game	Pokemon
FPH14090	90	Pop Artist	Elvis Presley
FPH14091	91	Pet	Siberian Husky
FPH14092	92	Bird	Hummingbird
FPH14093	93	Disney Character	Princess Jasmine
FPH14094	94	Female Actor	Angelina Jolie
FPH14095	95	Disney Movie	Mulan
FPH14096	96	Technology Brand	Google
FPH14097	97	Baseball Player	Babe Ruth
FPH14098	98	Exotic Pet	Bearded Dragon
FPH14099	99	Dinner	Enchiladas
FPH14100	100	Comedy	Happy Gilmore
FPH218001	101	Holiday	Valentine's Day
FPH218002	102	Lunch	Philly Cheesesteak Sandwich
FPH218003	103	Pet	Persian Cat
FPH218004	104	Pop Artist	Ed Sheeran
FPH218005	105	Female Actor	Scarlett Johansson
FPH218006	106	US President	Thomas Jefferson
FPH218007	107	Food	Grilled Cheese
FPH218008	108	TV Show	The Sopranos
FPH218009	109	Disney Movie	Snow White and the Seven Dwarfs
FPH218010	110	Dinner	Top Sirloin Steak
FPH218011	111	Cartoon	Transformers
FPH218012	112	Basketball Player	Lebron James
FPH218013	113	Pet	Siamese Cat
FPH218014	114	Breakfast	Omelette
FPH218015	115	Pop Artist	Selena Gomez
FPH218016	116	Famous Brand	Reebok
FPH218017	117	Cartoon	Teenage Mutant Ninja Turtles
FPH218018	118	Female Actor	Natalie Portman
FPH218019	119	Animal	Rhinoceros
FPH218020	120	Disney Character	Lightning McQueen
FPH218021	121	Horror Movie	The Shining
FPH218022	122	Pop Artist	Justin Bieber
FPH218023	123	Reality Show	Survivor
FPH218024	124	Video Game	Legend of Zelda
FPH218025	125	Ocean Animal	Hammerhead Shark
FPH218026	126	Bird	Mockingbird
FPH218027	127	Country Artist	Jason Aldean
FPH218028	128	Video Game	World of Warcraft
FPH218029	129	Disney Song	Part of Your World
FPH218030	130	Action Movie	The Terminator
FPH218031	131	Disney Movie	Beauty and the Beast
FPH218032	132	Video Game	Minecraft
FPH218033	133	Comedy	Saturday Night Live
FPH218034	134	Candy	Sour Patch Kids
FPH218035	135	Drink	Chocolate Milk
FPH218036	136	Pet	Rabbit
FPH218037	137	Hip Hop Artist	Eminem
FPH218038	138	Male Actor	Arnold Schwarzenegger
FPH218039	139	Disney Characters	Aladdin and Jasmine
FPH218040	140	US President	Theodore Roosevelt
FPH218041	141	Reality Show	RuPaul's Drag Race
FPH218042	142	Action Movie	Underworld
FPH218043	143	Pet	Jack Russell Terrier
FPH218044	144	Appetizer	Chips and Salsa
FPH218045	145	Basketball Player	Shaquille O'Neal
FPH218046	146	Exotic Pet	Boa Constrictor
FPH218047	147	Technology Brand	YouTube
FPH218048	148	Disney Song	You're Welcome
FPH218049	149	Male Actor	Clint Eastwood
FPH218050	150	Action Movie	The Fifth Element
FPH218051	151	TV Show	The Walking Dead
FPH218052	152	Country	New Zealand
FPH218053	153	Football Player	Cristiano Ronaldo
FPH218054	154	Disney Movie	High School Musical
FPH218055	155	Country Artist	Carrie Underwood
FPH218056	156	Action Movie	Total Recall
FPH218057	157	Dinner	Chicken Tenders
FPH218058	158	Rock Band	The Rolling Stones
FPH218059	159	Male Actor	Adam Sandler
FPH218060	160	Action Movie	Men in Black
FPH218061	161	Breakfast	French Toast
FPH218062	162	Ocean Animal	Sea Urchin
FPH218063	163	Technology Brand	Instagram
FPH218064	164	Pop Artist	Billie Eilish
FPH218065	165	Pet	Alaskan Malamute
FPH218066	166	US President	Ronald Reagan
FPH218067	167	Male Actor	Daniel Radcliffe
FPH218068	168	Reality Show	The Great British Baking Show
FPH218069	169	Comedy	The Simpsons
FPH218070	170	Bird	Trumpeter Swan
FPH218071	171	Action Movie	Kill Bill
FPH218072	172	Country	Singapore
FPH218073	173	Drink	Gin and Tonic
FPH218074	174	Pop Artist	Christina Aguilera
FPH218075	175	Disney Song	Can You Feel the Love Tonight
FPH218076	176	Male Actor	Tom Cruise
FPH218077	177	TV Host	David Letterman
FPH218078	178	Vehicle	Honda Civic
FPH218079	179	Reality Show	Extreme Makeover
FPH218080	180	Comedy	Home Alone
FPH218081	181	Dinner	Macaroni and Cheese
FPH218082	182	Female Actor	Drew Barrymore
FPH218083	183	Ocean Animal	Great White Shark
FPH218084	184	Continent	North America
FPH218085	185	Football Player	Walter Payton
FPH218086	186	Appetizer	Soup and Salad
FPH218087	187	Action Movie	Van Helsing
FPH218088	188	Rock Band	Led Zeppelin
FPH218089	189	Video Game	Grand Theft Auto
FPH218090	190	Pop Artist	Kelly Clarkson
FPH218091	191	Pet	Cocker Spaniel
FPH218092	192	Bird	Flamingo
FPH218093	193	Disney Character	Jack Skellington
FPH218094	194	Female Actor	Jennifer Lawrence
FPH218095	195	Disney Movie	Cinderella
FPH218096	196	Rock Band	The Beatles
FPH218097	197	Outdoor Activity	Rock Climbing
FPH218098	198	Exotic Pet	Hermit Crab
FPH218099	199	Dinner	Ribeye Steak
FPH218100	200	Comedy	Parks and Recreation
FPH218101	201	Country	United States
FPH218102	202	Snack	Granola Bar
FPH218103	203	Clothing	Leather Jacket
FPH218104	204	Pop Artist	Ariana Grande
FPH218105	205	Disney Song	Colors of the Wind
FPH218106	206	Male Actor	Bruce Willis
FPH218107	207	TV Host	Stephen Colbert
FPH218108	208	Famous Brand	Nestle
FPH218109	209	Pet	Chihuahua
FPH218110	210	Breakfast	Cereal and Milk
FPH218111	211	Disney Movie	Peter Pan
FPH218112	212	Continent	Africa
FPH218113	213	Animal	Arctic Wolf
FPH218114	214	Dessert	Ice Cream
FPH218115	215	Comedy	The Hangover
FPH218116	216	Country	South Korea
FPH218117	217	Dinner	Pot Roast
FPH218118	218	Ocean Animal	Tiger Shark
FPH218119	219	Clothing	Denim Jeans
FPH218120	220	Female Actor	Jennifer Aniston
FPH218121	221	Reality Show	Jersey Shore
FPH218122	222	Disney Song	A Whole New World
FPH218123	223	Rock Band	Guns N Roses
FPH218124	224	Animal	Bald Eagle
FPH218125	225	Breakfast	Eggs Benedict
FPH218126	226	Pet	Goldfish
FPH218127	227	Drink	Orange Juice
FPH218128	228	Country	Switzerland
FPH218129	229	Ocean Animal	Jellyfish
FPH218130	230	Candy	Skittles
FPH218131	231	Dinner	Pulled Pork Sandwich
FPH218132	232	Famous Brand	Twitter
FPH218133	233	Animal	Bengal Tiger
FPH218134	234	Disney Movie	The Little Mermaid
FPH218135	235	Continent	Australia
FPH218136	236	Clothing	Winter Boots
FPH218137	237	Famous Slogan	Red Bull Gives You Wings
FPH218138	238	Football Player	Peyton Manning
FPH218139	239	Coffee Brand	Folgers
FPH218140	240	Country Artist	Shania Twain
FPH218141	241	Action Movie	Resident Evil
FPH218142	242	Dinner	Mashed Potatoes and Gravy
FPH218143	243	Pet	Doberman Pinscher
FPH218144	244	Rock Band	Aerosmith
FPH218145	245	Animal	Rattlesnake
FPH218146	246	Country	Ireland
FPH218147	247	Famous Brand	Toshiba
FPH218148	248	Dessert	Cinnamon Roll
FPH218149	249	Outdoor Activity	Camping
FPH218150	250	Insect	Tarantula
FPH218151	251	Clothing	Bathing Suit
FPH218152	252	Female Actor	Emma Watson
FPH218153	253	Disney Song	Let it Go
FPH218154	254	Dinner	Vegetable Stew
FPH218155	255	Pet	Turtle
FPH218156	256	Candy	Reese's Peanut Butter Cups
FPH218157	257	Animal	Hippopotamus
FPH218158	258	Male Actor	Brad Pitt
FPH218159	259	TV Show	Breaking Bad
FPH218160	260	US President	Franklin D Roosevelt
FPH218161	261	Famous Slogan	The Happiest Place on Earth
FPH218162	262	Rock Band	Black Sabbath
FPH218163	263	Insect	Honey Bee
FPH218164	264	Breakfast	Cinnamon Toast Crunch
FPH218165	265	Country	Netherlands
FPH218166	266	Drink	Lemonade
FPH218167	267	Country Artist	Johnny Cash
FPH218168	268	Comedy	It's Always Sunny in Philadelphia
FPH218169	269	Animal	Snow Leopard
FPH218170	270	Male Actor	Orlando Bloom
FPH218171	271	Dessert	Banana Pudding
FPH218172	272	Female Actor	Sandra Bullock
FPH218173	273	Continent	South America
FPH218174	274	Rock Band	Red Hot Chili Peppers
FPH218175	275	Insect	Yellow Jacket
FPH218176	276	TV Show	Stranger Things
FPH218177	277	Drink	Bloody Mary
FPH218178	278	US President	Richard Nixon
FPH218179	279	Disney Movie	Artemis Fowl
FPH218180	280	Hip Hop Artist	Nicki Minaj
FPH218181	281	Male Actor	Russell Crowe
FPH218182	282	Clothing	Sandals
FPH218183	283	Animal	Crocodile
FPH218184	284	Outdoor Activity	Horseback Riding
FPH218185	285	Country	Russia
FPH218186	286	TV Show	The Handmaid's Tale
FPH218187	287	Dessert	Cheesecake
FPH218188	288	Pet	Border Collie
FPH218189	289	Country Artist	Kenny Chesney
FPH218190	290	Insect	Praying Mantis
FPH218191	291	Rock Band	Iron Maiden
FPH218192	292	Pop Artist	Miley Cyrus
FPH218193	293	Continent	Asia
FPH218194	294	Drink	Hot Chocolate
FPH218195	295	Bird	Peregrine Falcon
FPH218196	296	Reality Show	My Super Sweet Sixteen
FPH218197	297	US President	Donald Trump
FPH218198	298	Animal	Porcupine
FPH218199	299	Outdoor Activity	Hunting and Fishing
FPH218200	300	Disney Song	Love is an Open Door
FPH218201	301	TV Show	Peaky Blinders
FPH218202	302	Country	Israel
FPH218203	303	Action Movie	Aliens
FPH218204	304	Comedy	Ace Ventura Pet Detective
FPH218205	305	Disney Movie	Sleeping Beauty
FPH218206	306	Breakfast	Biscuits and Gravy
FPH218207	307	Dessert	Hot Fudge Sundae
FPH218208	308	Outdoor Activity	Skateboarding
FPH218209	309	Pop Artist	Whitney Houston
FPH218210	310	Country Artist	Kelsea Ballerini
FPH218211	311	Clothing	Trench Coat
FPH218212	312	Football Player	Randy Moss
FPH218213	313	Drink	Milk Tea
FPH218214	314	US President	George Bush
FPH218215	315	Disney Song	Circle of Life
FPH218216	316	Basketball Player	Kevin Durant
FPH218217	317	Insect	Grasshopper
