Phrase ID	Level	Clue (Question)	Phrase (Answer)
FPH217003	1	Día festivo	Pascua de Resurrección
FPH14003	2	Marca de café	Starbucks
FPH14002	3	Mascota	Hámster
FPH14004	4	Artista pop	Ed sheeran
FPH14005	5	Actor masculino	Anthony Quinn
FPH217002	6	Gobierno	Andrés Manuel López Obrador
FPH14001	7	Comida	Frutas y vegetales
FPH14007	8	Programa de televisión	Juego de Tronos
FPH14008	9	Pelicula Disney	La Dama y el Vagabundo
FPH14009	10	Cena	Fajitas Carne Asada
FPH14010	11	Dibujos animados	Bob Esponja
FPH14011	12	Jugador de baloncesto	Kobe Bryant
FPH14012	13	Mascota	Perro perdiguero de oro
FPH14013	14	Desayuno	Huevos Rancheros
FPH14014	15	Telenovela	Yo soy Betty, la fea
FPH14015	16	Marca famosa	Microsoft
FPH14016	17	Dibujos animados	Looney Tunes
FPH14017	18	Actor femenino	Salma Hayek
FPH14018	19	Animal	Panda gigante
FPH14019	20	Personaje de disney	Capitán Jack Sparrow
FPH14020	21	Comida	Tacos De Carnitas
FPH14021	22	Artista pop	Justin Timberlake
FPH14022	23	Evento	Dia de los Muertos
FPH14023	24	Videojuego	Call of Duty
FPH14024	25	Animal del océano	Delfín nariz de botella
FPH14025	26	Artista pop	Britney Spears
FPH14026	27	Artista del país	Garth Brooks
FPH14027	28	Videojuego	Sonic the Hedgehog
FPH14028	29	Canción de Disney	Ser nuestra invitada
FPH14029	30	Película de acción	Matrix
FPH14030	31	Pelicula Disney	La princesa y el sapo
FPH14031	32	Videojuego	Super Mario
FPH14032	33	Comedia	La princesa prometida
FPH14033	34	Película de acción	Iron man
FPH14034	35	Vehículo	Toyota Yaris
FPH14035	36	Mascota	Gato atigrado
FPH14036	37	Artista de hip hop	Kanye west
FPH14037	38	Actor masculino	Leonardo DiCaprio
FPH14038	39	Personajes de Disney	Anna y Elsa
FPH217001	40	Gobierno	Enrique Peña Nieto
FPH14040	41	Reality show	Paradise Hotel
FPH14041	42	Película de acción	Misión Imposible
FPH14042	43	Mascota	Pastor aleman
FPH14043	44	Aperitivo	Pico de Gallo
FPH14044	45	Artista pop	Banda Ms
FPH14045	46	Mascotas exóticas	Serpiente de maíz
FPH14046	47	Marca de tecnología	Samsung
FPH14047	48	Canción de Disney	Bajo el mar
FPH14048	49	Actor masculino	Robert De Niro
FPH14049	50	Película de acción	Avengers Endgame
FPH14050	51	Programa de televisión	Esta Cosa Que Es Nuestra
FPH14051	52	Ciudad latinoamericana	Mexico City
FPH14052	53	Vehículo	Volkswagen Tiguan
FPH14053	54	Pelicula Disney	Alicia en el Pais de las Maravillas
FPH14054	55	Artista del país	Luke Combs
FPH14056	56	Película de acción	Identidad desconocida
FPH14057	57	Cena	Burrito de pollo
FPH14058	58	Pájaro	pingüino emperador
FPH14059	59	Actor masculino	Alan Rickman
FPH14060	60	Película de acción	Jurassic Park
FPH14061	61	Desayuno	Huevos y tocino
FPH14062	62	Animal del océano	león marino
FPH14063	63	Marca de tecnología	Verizon Mobile
FPH14064	64	Artista pop	Lady Gaga
FPH14065	65	Mascota	Bulldog francés
FPH14066	66	Gobierno	Felipe Calderón
FPH14067	67	Actor masculino	Morgan Freeman
FPH14068	68	Vehículo	Jeep Renegade
FPH14069	69	Comedia	Monty Python and the Holy Grail
FPH14070	70	Pájaro	buho Nevado
FPH14071	71	Película de acción	John wick
FPH14072	72	Marca atlética	Under Armor
FPH14073	73	Comida	Mole picante
FPH14074	74	Artista pop	Michael Jackson
FPH14075	75	Canción de Disney	Hakuna Matata
FPH14076	76	Actor masculino	Keanu Reeves
FPH14077	77	Anfitrion de TELEVISION	Oprah winfrey
FPH14078	78	Marca famosa	Facebook
FPH14079	79	Ciudad latinoamericana	Guadalajara
FPH14080	80	Comedia	Un experto en diversiones
FPH14081	81	Telenovela	Corazón salvaje
FPH14082	82	Evento	Vive Latino
FPH14083	83	Animal del océano	Ballena azul
FPH14084	84	Mascotas exóticas	Erizo
FPH14085	85	Jugador de baloncesto	Michael Jordan
FPH14086	86	Aperitivo	Guacamole
FPH14087	87	Película de acción	Duro de matar
FPH14088	88	Vehículo	Chevrolet Onix
FPH14089	89	Videojuego	Pokemon
FPH14090	90	Artista pop	Elvis Presley
FPH14091	91	Mascota	Husky siberiano
FPH14092	92	Pájaro	Colibrí
FPH14093	93	Personaje de disney	Princesa jazmín
FPH14094	94	Actor femenino	Angelina Jolie
FPH14095	95	Pelicula Disney	Mulan
FPH14096	96	Marca de tecnología	Google
FPH14097	97	Jugador de baseball	Babe Ruth
FPH14098	98	Mascotas exóticas	Dragon barbudo
FPH14099	99	Cena	Quesadilla
FPH14100	100	Comedia	Luchando con mi familia
FPH218001	101	Día festivo	Día de Año Nuevo
FPH218002	102	Comida	Frijoles charros
FPH218003	103	Mascota	gato persa
FPH218004	104	Artista pop	Taylor Swift
FPH218005	105	Actor femenino	Scarlett Johansson
FPH218006	106	Gobierno	Vicente Fox
FPH218007	107	Comida	Barbacoa
FPH218008	108	Programa de televisión	Narcos
FPH218009	109	Pelicula Disney	Blancanieves y los Siete Enanitos
FPH218010	110	Cena	Filete a la pimienta
FPH218011	111	Dibujos animados	Transformers
FPH218012	112	Jugador de baloncesto	Lebron james
FPH218013	113	Mascota	gato siames
FPH218014	114	Desayuno	Huevos Divorciados
FPH218015	115	Telenovela	Pasión de Gavilanes
FPH218016	116	Marca famosa	Reebok
FPH218017	117	Dibujos animados	Teenage Mutant Ninja Turtles
FPH218018	118	Actor masculino	Gael García Bernal
FPH218019	119	Animal	Rinoceronte
FPH218020	120	Personaje de disney	Lightning McQueen
FPH218021	121	Película de terror	El resplandor
FPH218022	122	Artista pop	Justin bieber
FPH218023	123	Vehículo	Ford Ka
FPH218024	124	Videojuego	Legend of zelda
FPH218025	125	Animal del océano	Tiburon martillo
FPH218026	126	Pájaro	sinsonte
FPH218027	127	Artista del país	Jason aldean
FPH218028	128	Videojuego	World of warcraft
FPH218029	129	Canción de Disney	Parte de tu mundo
FPH218030	130	Postre	Pan Dulce
FPH218031	131	Pelicula Disney	La Bella y la Bestia
FPH218032	132	Videojuego	Minecraft
FPH218033	133	Vehículo	Toyota Hilux
FPH218034	134	Dulce	Sour Patch Kids
FPH218035	135	Beber	Jarritos
FPH218036	136	Mascota	Conejo
FPH218037	137	Artista de hip hop	Eminem
FPH218038	138	Actor masculino	Arnold Schwarzenegger
FPH218039	139	Personajes de Disney	Aladdin y Jasmine
FPH218040	140	Gobierno	Ernesto Zedillo
FPH218041	141	Ciudad latinoamericana	Ciudad de puebla
FPH218042	142	Película de acción	Inframundo
FPH218043	143	Mascota	Jack Russell Terrier
FPH218044	144	Telenovela	Rubí
FPH218045	145	Jugador de baloncesto	Shaquille O'Neal
FPH218046	146	Mascotas exóticas	Boa constrictor
FPH218047	147	Marca de tecnología	YouTube
FPH218048	148	Canción de Disney	De nada
FPH218049	149	Actor masculino	Clint Eastwood
FPH218050	150	Película de acción	El quinto elemento
FPH218051	151	Programa de televisión	The Walking Dead
FPH218052	152	País	Nueva Zelanda
FPH218053	153	Evento	Guelaguetza
FPH218054	154	Pelicula Disney	High School Musical
FPH218055	155	Marca de café	Nescafe
FPH218056	156	Película de acción	El vengador del futuro
FPH218057	157	Cena	Tortas
FPH218058	158	Banda de rock	The Rolling Stones
FPH218059	159	Actor masculino	Adam Sandler
FPH218060	160	Película de acción	Hombres de Negro Internacional
FPH218061	161	Desayuno	tostada francesa
FPH218062	162	Animal del océano	Erizo de mar
FPH218063	163	Marca de tecnología	Instagram
FPH218064	164	Artista pop	Christian Nodal
FPH218065	165	Mascota	Malamute de Alaska
FPH218066	166	Gobierno	Benito Juarez
FPH218067	167	Actor masculino	Daniel Radcliffe
FPH218068	168	Reality show	Top Gear
FPH218069	169	Comedia	El Simpsons
FPH218070	170	Pájaro	Cisne trompetista
FPH218071	171	Película de acción	Kill Bill
FPH218072	172	País	Singapur
FPH218073	173	Beber	Gin tonic
FPH218074	174	Artista pop	Danna Paola
FPH218075	175	Canción de Disney	Puedes sentir el amor esta noche
FPH218076	176	Actor masculino	Tom Cruise
FPH218077	177	Libro	Hansel y Gretel
FPH218078	178	Vehículo	Honda Civic
FPH218079	179	Ciudad latinoamericana	Ciudad Juárez
FPH218080	180	Comedia	Mi pobre angelito
FPH218081	181	Cena	Enchiladas
FPH218082	182	Actor femenino	Emma Stone
FPH218083	183	Animal del océano	Gran tiburón blanco
FPH218084	184	Continente	América del norte
FPH218085	185	Evento	Quinceañera
FPH218086	186	Aperitivo	Sopa y ensalada
FPH218087	187	Película de acción	Van Helsing
FPH218088	188	Banda de rock	Led Zeppelin
FPH218089	189	Videojuego	Grand Theft Auto
FPH218090	190	Artista pop	Thalía
FPH218091	191	Mascota	Cocker spaniel
FPH218092	192	Pájaro	Flamenco
FPH218093	193	Personaje de disney	Jack Skellington
FPH218094	194	Actor femenino	Zoe Saldana
FPH218095	195	Pelicula Disney	Cenicienta
FPH218096	196	Banda de rock	The Beatles
FPH218097	197	Actividad al aire libre	Escalada de roca
FPH218098	198	Mascotas exóticas	Cangrejo ermitaño
FPH218099	199	Cena	Filete de costilla
FPH218100	200	Postre	churros
FPH218101	201	País	Estados Unidos
FPH218102	202	Comida	Barra de granola
FPH218103	203	Ropa	Chaqueta de cuero
FPH218104	204	Artista pop	Skrillex
FPH218105	205	Canción de Disney	Colores del viento
FPH218106	206	Actor masculino	Bruce Willis
FPH218107	207	Ciudad latinoamericana	Ecatepec
FPH218108	208	Marca famosa	Nestle
FPH218109	209	Mascota	Chihuahua
FPH218110	210	Desayuno	Cereales y leche
FPH218111	211	Pelicula Disney	Peter Pan
FPH218112	212	Continente	África
FPH218113	213	Animal	Lobo ártico
FPH218114	214	Postre	Helado
FPH218115	215	Comedia	Qué pasó ayer?
FPH218116	216	País	Corea del Sur
FPH218117	217	Cena	Tacos al Pastor
