Phrase ID	Level	Clue (Question)	Phrase (Answer)
FPH217003	1	Vacance	Pâques
FPH14003	2	Marque de café	Starbucks
FPH14002	3	Animal de compagnie	Hamster
FPH14004	4	Artiste pop	Ed Sheeran
FPH14005	5	Acteur masculin	Gérard Depardieu
FPH217002	6	Gouvernement	Emmanuel Macron
FPH14001	7	Aliments	Fruits et légumes
FPH14007	8	Émission de télévision	Game of Thrones
FPH14008	9	Film Disney	La Belle et le Clochard
FPH14009	10	Dîner	Ratatouille
FPH14010	11	Dessin animé	Bob l'éponge
FPH14011	12	Joueur de basketball	Kobe Bryant
FPH14012	13	Animal de compagnie	Golden retriever
FPH14013	14	Petit déjeuner	Croissant
FPH14014	15	Artiste pop	Kungs
FPH14015	16	Marque célèbre	Microsoft
FPH14016	17	Dessin animé	Looney Tunes
FPH14017	18	Actrice	Isabelle Adjani
FPH14018	19	Animal	Panda géant
FPH14019	20	Personnage de Disney	Capitaine Jack Sparrow
FPH14020	21	Le déjeuner	Croque monsieur
FPH14021	22	Artiste pop	Justin Timberlake
FPH14022	23	Événement	Nice Carnival
FPH14023	24	Jeu vidéo	Call of Duty
FPH14024	25	Animal de l'océan	Grand dauphin
FPH14025	26	Artiste pop	Britney Spears
FPH14026	27	Artiste country	Garth Brooks
FPH14027	28	Jeu vidéo	Sonic the Hedgehog
FPH14028	29	Chanson Disney	Be Our Guest
FPH14029	30	Film d'action	Matrix
FPH14030	31	Film Disney	La Princesse et la Grenouille
FPH14031	32	Jeu vidéo	Super Mario
FPH14032	33	La comédie	The Princess Bride
FPH14033	34	Film d'action	Iron Man
FPH14034	35	Véhicule	Peugeot
FPH14035	36	Animal de compagnie	Chat tigré
FPH14036	37	Artiste hip-hop	Kanye West
FPH14037	38	Acteur masculin	Leonardo DiCaprio
FPH14038	39	Personnages Disney	Anna et Elsa
FPH217001	40	Gouvernement	Charles de Gaulle
FPH14040	41	Télé réalité	The Parisian Agency
FPH14041	42	Film d'action	Mission Impossible
FPH14042	43	Animal de compagnie	Berger allemand
FPH14043	44	Apéritif	Pommes Frites
FPH14044	45	Artiste pop	Laylow
FPH14045	46	Animal exotique	Serpent des blés
FPH14046	47	Marque technologique	Samsung
FPH14047	48	Chanson Disney	Sous la mer
FPH14048	49	Acteur masculin	Robert De Niro
FPH14049	50	Film d'action	Avengers Endgame
FPH14050	51	Émission de télévision	Medici
FPH14051	52	Ville française	Paris
FPH14052	53	Véhicule	Renault Clio
FPH14053	54	Film Disney	Alice au Pays des Merveilles
FPH14054	55	Artiste country	Luke Combs
FPH14056	56	Film d'action	The Bourne Identity
FPH14057	57	Dîner	Poulet orange
FPH14058	58	Oiseau	Manchot empereur
FPH14059	59	Acteur masculin	Alan Rickman
FPH14060	60	Film d'action	Jurassic Park
FPH14061	61	Petit déjeuner	Oeufs et bacon
FPH14062	62	Animal de l'océan	Lion de mer
FPH14063	63	Marque technologique	Verizon Mobile
FPH14064	64	Artiste pop	Lady Gaga
FPH14065	65	Animal de compagnie	Bulldog français
FPH14066	66	Gouvernement	Georges Clémenceau
FPH14067	67	Acteur masculin	Morgan Freeman
FPH14068	68	Véhicule	Dacia Sandero
FPH14069	69	La comédie	Kaamelott
FPH14070	70	Oiseau	Harfang des neiges
FPH14071	71	Film d'action	John Wick
FPH14072	72	Marque athlétique	Under Armour
FPH14073	73	Aliments	Brioche
FPH14074	74	Artiste pop	Michael Jackson
FPH14075	75	Chanson Disney	Hakuna Matata
FPH14076	76	Acteur masculin	Keanu Reeves
FPH14077	77	Présentateur TV	Oprah Winfrey
FPH14078	78	Marque célèbre	Facebook
FPH14079	79	Ville française	Aix-en Provence
FPH14080	80	La comédie	La folle journée de Ferris Bueller
FPH14081	81	Dîner	Gratin
FPH14082	82	Événement	Festival du Film de Cannes
FPH14083	83	Animal de l'océan	Baleine bleue
FPH14084	84	Animal exotique	Hérisson
FPH14085	85	Joueur de basketball	Michael Jordan
FPH14086	86	Apéritif	Bisque
FPH14087	87	Film d'action	Piège de cristal
FPH14088	88	Véhicule	Renault Captur
FPH14089	89	Jeu vidéo	Pokemon
FPH14090	90	Artiste pop	Elvis Presley
FPH14091	91	Animal de compagnie	Husky sibérien
FPH14092	92	Oiseau	Colibri
FPH14093	93	Personnage de Disney	Princesse Jasmine
FPH14094	94	Actrice	Angelina Jolie
FPH14095	95	Film Disney	Mulan
FPH14096	96	Marque technologique	Google
FPH14097	97	Joueur de baseball	Babe Ruth
FPH14098	98	Animal exotique	Dragon barbu
FPH14099	99	Dîner	Châteaubriand
FPH14100	100	La comédie	Astérix et Obélix Mission Cléopâtre
FPH218001	101	Vacance	La Saint Valentin
FPH218002	102	Aliments	Hollandaise Sauce
FPH218003	103	Animal de compagnie	Chat persan
FPH218004	104	Artiste pop	Taylor Swift
FPH218005	105	Actrice	Scarlett Johansson
FPH218006	106	Gouvernement	Georges Pompidou
FPH218007	107	Aliments	Rouille
FPH218008	108	Émission de télévision	War of the Worlds
FPH218009	109	Film Disney	Blanche Neige et les sept nains
FPH218010	110	Dîner	Steak au Poivre
FPH218011	111	Dessin animé	Transformers
FPH218012	112	Joueur de basketball	Lebron James
FPH218013	113	Animal de compagnie	Chat siamois
FPH218014	114	Petit déjeuner	Quiche Lorraine
FPH218015	115	Artiste pop	Jordan James
FPH218016	116	Marque célèbre	Reebok
FPH218017	117	Dessin animé	Teenage Mutant Ninja Turtles
FPH218018	118	Acteur masculin	Omar Sy
FPH218019	119	Animal	Rhinocéros
FPH218020	120	Personnage de Disney	Lightning McQueen
FPH218021	121	Film d'horreur	Shining
FPH218022	122	Artiste pop	Justin Bieber
FPH218023	123	Véhicule	Toyota Yaris
FPH218024	124	Jeu vidéo	Legend of Zelda
FPH218025	125	Animal de l'océan	Requin marteau
FPH218026	126	Oiseau	Oiseau moqueur
FPH218027	127	Artiste country	Jason Aldean
FPH218028	128	Jeu vidéo	World of Warcraft
